12번째: precision=0.5833, recall=0.7000, f1-score=0.6364, support=10.0000
갈등: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
갈색: precision=0.8421, recall=0.8000, f1-score=0.8205, support=20.0000
감금: precision=0.8571, recall=0.6000, f1-score=0.7059, support=10.0000
감기: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
감나무: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
감동: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
감사: precision=0.6667, recall=1.0000, f1-score=0.8000, support=10.0000
감옥: precision=0.8696, recall=1.0000, f1-score=0.9302, support=20.0000
감옥살이: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
갑부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
갑절: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
값비싸다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강: precision=0.5263, recall=1.0000, f1-score=0.6897, support=10.0000
강남: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
강남구수어통역센터: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
강남구지부: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
강남구청: precision=0.7143, recall=1.0000, f1-score=0.8333, support=10.0000
강동구수어통역센터: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
강동구주민지원센터: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
강릉: precision=1.0000, recall=0.4000, f1-score=0.5714, support=10.0000
강릉시지부: precision=0.5333, recall=0.8000, f1-score=0.6400, support=10.0000
강릉시청: precision=0.5556, recall=1.0000, f1-score=0.7143, support=10.0000
강물: precision=0.6667, recall=0.2000, f1-score=0.3077, support=10.0000
강북: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강북구수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강북구지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강서: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
강서구수어통역센터: precision=0.7143, recall=1.0000, f1-score=0.8333, support=10.0000
강서구주민지원센터: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
강서구지부: precision=0.7273, recall=0.8000, f1-score=0.7619, support=10.0000
강약: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
강요: precision=0.5789, recall=0.5500, f1-score=0.5641, support=20.0000
강원도청: precision=0.4286, recall=0.6000, f1-score=0.5000, support=10.0000
강진군수어통역센터: precision=1.0000, recall=0.6000, f1-score=0.7500, support=10.0000
강진군주민지원센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
강진군지부: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
강철: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
강풍: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강화군수어통역센터: precision=0.6250, recall=1.0000, f1-score=0.7692, support=10.0000
강화군주민지원센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
강화군지부: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
개똥: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
개학: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
거만: precision=0.7429, recall=0.8667, f1-score=0.8000, support=30.0000
거슬리다: precision=0.7143, recall=1.0000, f1-score=0.8333, support=10.0000
거절: precision=0.6000, recall=0.6000, f1-score=0.6000, support=10.0000
거제시지부: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
거지: precision=0.9355, recall=0.9667, f1-score=0.9508, support=30.0000
거창군수화통역센터: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
거창군주민지원센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
건강: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
건성: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
건성건성: precision=0.7500, recall=0.9000, f1-score=0.8182, support=10.0000
걸스카우트: precision=0.8750, recall=0.7000, f1-score=0.7778, support=10.0000
걸음걸이: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
걸핏하면: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
검사: precision=0.9412, recall=0.8000, f1-score=0.8649, support=20.0000
검정머리: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
겉모습: precision=1.0000, recall=0.7778, f1-score=0.8750, support=9.0000
게으르다: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
겨드랑이: precision=0.6000, recall=0.9000, f1-score=0.7200, support=10.0000
격노: precision=1.0000, recall=0.8000, f1-score=0.8889, support=30.0000
견문: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
견습소: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
견제하다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
결벽: precision=0.8750, recall=0.7000, f1-score=0.7778, support=10.0000
결승전: precision=0.8750, recall=0.7000, f1-score=0.7778, support=20.0000
결심: precision=0.9048, recall=0.9500, f1-score=0.9268, support=40.0000
결점: precision=0.6957, recall=0.8000, f1-score=0.7442, support=40.0000
결코: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
결합을끊다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
결혼식: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
겸손: precision=0.4444, recall=0.8000, f1-score=0.5714, support=10.0000
겸임: precision=0.6786, recall=0.9500, f1-score=0.7917, support=20.0000
겹치다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경과실: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경기도: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경기도청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경남농아인협회: precision=1.0000, recall=1.0000, f1-score=1.0000, support=20.0000
경남도청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경로당: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경북: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
경비: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경비실: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경산시수어통역센터: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
경산시지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
경주시수어통역센터: precision=0.9167, recall=0.7333, f1-score=0.8148, support=15.0000
경찰서: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
계기: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
계약금: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
계획: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
계획적: precision=0.6000, recall=0.9000, f1-score=0.7200, support=10.0000
고급지다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
고깃국: precision=0.6667, recall=0.8000, f1-score=0.7273, support=10.0000
고등학교: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
고등학생: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
고려대학교: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
고령군수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고령군주민지원센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
고리타분: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
고백: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
고성군주민지원센터: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
고성시수어통역센터: precision=0.8571, recall=0.6000, f1-score=0.7059, support=10.0000
고성지부: precision=0.7273, recall=0.8000, f1-score=0.7619, support=10.0000
고속터미널: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고양: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고양시수어통역센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
고양시지부: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
고용: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
고인: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
고조할아버지: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고집: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
고창군수어통역센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
고창군주민지원센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고창군지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
고추: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
고춧잎: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
고흥군수어통역센터: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
곡성군수어통역센터: precision=0.6250, recall=1.0000, f1-score=0.7692, support=10.0000
곡성군지부: precision=0.8333, recall=0.5000, f1-score=0.6250, support=10.0000
골절: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
골짜기: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
골키퍼: precision=0.7500, recall=0.9000, f1-score=0.8182, support=10.0000
공교롭다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공군: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공범: precision=0.9375, recall=1.0000, f1-score=0.9677, support=15.0000
공석: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공식: precision=0.8095, recall=0.8500, f1-score=0.8293, support=20.0000
공식발표: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
공주시지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공주시청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공항: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공항시장: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
공휴일: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
과로: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
과시: precision=0.6923, recall=0.9000, f1-score=0.7826, support=10.0000
과용: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
과음: precision=1.0000, recall=0.5000, f1-score=0.6667, support=10.0000
과천시지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
과천시청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
관계없다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
관광: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
관습: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
관악구수어통역센터: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
관악구주민지원센터: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
관악구지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광명: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
광명시수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광명시지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광명시청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광산구수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광산구지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광양군수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광양군주민지원센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광양군지부: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
광업: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광주: precision=0.7778, recall=0.7000, f1-score=0.7368, support=10.0000
광주광역시농아인협회: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광주광역시청: precision=0.5882, recall=1.0000, f1-score=0.7407, support=10.0000
광주시수어통역센터: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
광주시지부: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
광주시청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
광진구수어통역센터: precision=0.8750, recall=0.7000, f1-score=0.7778, support=10.0000
광진구주민지원센터: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
괜찮다: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
괴롭다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
괴롭히다: precision=1.0000, recall=0.6000, f1-score=0.7500, support=10.0000
괴산군주민지원센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
괴산군지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
괴팍하다: precision=1.0000, recall=0.3000, f1-score=0.4615, support=10.0000
교가: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
교기: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
교모: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
교무실: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
교사직무: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
교섭: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
교수: precision=0.8000, recall=0.8000, f1-score=0.8000, support=10.0000
교육자: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
교육청: precision=0.6667, recall=1.0000, f1-score=0.8000, support=10.0000
교장: precision=0.7500, recall=0.9000, f1-score=0.8182, support=10.0000
교제: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
교통기본교육: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
교통안전교육: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
구: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
구걸: precision=0.8000, recall=0.8000, f1-score=0.8000, support=10.0000
구급차: precision=1.0000, recall=0.6000, f1-score=0.7500, support=10.0000
구두: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
구두액: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
구렁이: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구로구수어통역센터: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
구로구주민지원센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구로구지부: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
구리: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
구리시수어통역센터: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
구리시지부: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
구만: precision=1.0000, recall=0.4000, f1-score=0.5714, support=10.0000
구미시수어통역센터: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
구미시지부: precision=1.0000, recall=0.2000, f1-score=0.3333, support=10.0000
구미시청: precision=1.0000, recall=0.2000, f1-score=0.3333, support=10.0000
구백만: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구백억: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구백오십: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구백오십만: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
구분: precision=1.0000, recall=0.4000, f1-score=0.5714, support=10.0000
구십: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
구십구: precision=1.0000, recall=0.6000, f1-score=0.7500, support=10.0000
구십만: precision=0.5263, recall=1.0000, f1-score=0.6897, support=10.0000
구십사: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구십삼: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
구십오: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구십이: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구십일: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구십칠: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구억: precision=0.5714, recall=0.8000, f1-score=0.6667, support=10.0000
구억오천만: precision=0.6429, recall=0.9000, f1-score=0.7500, support=10.0000
구인: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
구조: precision=0.8421, recall=0.8000, f1-score=0.8205, support=20.0000
구천만: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
구천오백: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구천오백만: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
구화: precision=0.5714, recall=0.8000, f1-score=0.6667, support=10.0000
국그릇: precision=0.7778, recall=0.7000, f1-score=0.7368, support=10.0000
국어학: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
군가: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
군복: precision=0.6000, recall=0.3000, f1-score=0.4000, support=10.0000
군비행장: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
군산: precision=1.0000, recall=0.5556, f1-score=0.7143, support=9.0000
군산시수어통역센터: precision=0.6154, recall=0.8000, f1-score=0.6957, support=10.0000
군산시청: precision=0.8000, recall=0.8000, f1-score=0.8000, support=10.0000
군위군수어통역센터: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
군위군지부: precision=1.0000, recall=0.6000, f1-score=0.7500, support=10.0000
군포: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
군포시수어통역센터: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
군포시지부: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
군포시청: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
궁리: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
궁지: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
궁핍하다: precision=0.7778, recall=0.7000, f1-score=0.7368, support=10.0000
권력: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
권투: precision=0.8000, recall=0.8000, f1-score=0.8000, support=10.0000
귀: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0000
귀부인: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
귀엽다: precision=0.7368, recall=0.7000, f1-score=0.7179, support=20.0000
귀중품: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
그날: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
그렇다: precision=0.6923, recall=0.9000, f1-score=0.7826, support=10.0000
근근이: precision=0.9048, recall=0.9500, f1-score=0.9268, support=40.0000
근무: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
글: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
금산: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
금시초문: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
금식: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
금요일: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
금욕: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
금정구수어통역센터: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
금정구지부: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
금천: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
금천구수어통역센터: precision=1.0000, recall=0.6000, f1-score=0.7500, support=10.0000
금천구청: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
급하다: precision=0.6500, recall=0.6500, f1-score=0.6500, support=20.0000
급행: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
기대: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
기대다: precision=0.7500, recall=0.3000, f1-score=0.4286, support=10.0000
기름: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
기린: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
기민하다: precision=0.8750, recall=0.7000, f1-score=0.7778, support=10.0000
기분: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
기세등등: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
기술: precision=0.5385, recall=0.7000, f1-score=0.6087, support=10.0000
기술자: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
기억: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
기절초풍: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
기지: precision=0.7500, recall=0.9000, f1-score=0.8182, support=10.0000
기초확인: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
기피하다: precision=0.8571, recall=0.9000, f1-score=0.8780, support=20.0000
기회주의: precision=0.5000, recall=0.7000, f1-score=0.5833, support=10.0000
길몽: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
길운: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
길일: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
김제시청: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
김천시수어통역센터: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
김천시지부: precision=1.0000, recall=0.8889, f1-score=0.9412, support=9.0000
김포: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
김포시수어통역센터: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
김포시청: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
김해시지부: precision=0.8750, recall=0.7000, f1-score=0.7778, support=10.0000
김해시청: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
깃털: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
까치산: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
깎다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
깜깜하다: precision=0.7143, recall=1.0000, f1-score=0.8333, support=10.0000
깜빡하다: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
꺼지다: precision=0.7969, recall=0.8500, f1-score=0.8226, support=60.0000
꽃씨: precision=0.8333, recall=1.0000, f1-score=0.9091, support=10.0000
꽃잎: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
꿀물: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
꿇다: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
끊다: precision=0.7500, recall=0.8000, f1-score=0.7742, support=15.0000
나: precision=1.0000, recall=0.7000, f1-score=0.8235, support=10.0000
나누다: precision=0.4706, recall=0.8000, f1-score=0.5926, support=10.0000
나무기둥: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
나빠지다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
나쁘다: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
나이: precision=0.7143, recall=0.5000, f1-score=0.5882, support=10.0000
나주시수어통역센터: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
나주시지부: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
낙제: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
낚시: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
낚시대: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
낚시터: precision=1.0000, recall=0.5000, f1-score=0.6667, support=10.0000
난감하다: precision=0.8824, recall=0.7500, f1-score=0.8108, support=20.0000
날: precision=0.5455, recall=0.6000, f1-score=0.5714, support=10.0000
날쎄다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
남구지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
남몰래: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
남부지방: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
남부터미널: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
남산: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
남성적: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
남아: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
남양주: precision=0.8889, recall=0.8000, f1-score=0.8421, support=10.0000
남양주시지부: precision=0.7692, recall=1.0000, f1-score=0.8696, support=10.0000
남원: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
남원시지부: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
남원시청: precision=0.9091, recall=1.0000, f1-score=0.9524, support=10.0000
남편: precision=0.2500, recall=0.1000, f1-score=0.1429, support=10.0000
남해군수화통역센터: precision=0.9000, recall=0.9000, f1-score=0.9000, support=10.0000
낭패: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
낳다: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
내뱉다: precision=0.8846, recall=0.7667, f1-score=0.8214, support=30.0000
내버려두다: precision=1.0000, recall=1.0000, f1-score=1.0000, support=10.0000
내정: precision=0.8000, recall=0.8000, f1-score=0.8000, support=10.0000
냄비: precision=1.0000, recall=0.8000, f1-score=0.8889, support=10.0000
냄새맡다: precision=1.0000, recall=0.9000, f1-score=0.9474, support=10.0000
냉커피: precision=1.0000, recall=0.6000, f1-score=0.7500, support=10.0000
너: precision=0.4444, recall=0.8000, f1-score=0.5714, support=10.0000
너그럽다: precision=0.6000, recall=0.9000, f1-score=0.7200, support=10.0000
너희: precision=0.7500, recall=0.6000, f1-score=0.6667, support=10.0000
넘기다: precision=0.8182, recall=0.9000, f1-score=0.8571, support=10.0000
